subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, exp_value1, exp_value2, exp_value3, exp_value4, reward
1, practice, 0, 1 second, 1, 1, 4, 1.png, 4.png, 0.65, 0.45, 0.45, left, 1, 4, 1, 4.png, 1.png, 0.45, 0.55, 0.35, 0.65,0,
1, practice, 0, 1 second, 2, 3, 4, 3.png, 4.png, 0.65, 0.35, 0.35, left, 1, 4, 3, 4.png, 3.png, 0.45, 0.55, 0.35, 0.65,1
1, practice, 0, 1 second, 3, 2, 3, 2.png, 3.png, 0.35, 0.55, 0.55, left, 1, 3, 2, 3.png, 2.png, 0.45, 0.55, 0.35, 0.65,0,
1, practice, 0, 1 second, 4, 2, 4, 2.png, 4.png, 0.65, 0.55, 0.65, right, 2, 2, 4, 2.png, 4.png, 0.45, 0.55, 0.35, 0.65,0,
1, practice, 0, 1 second, 5, 2, 4, 2.png, 4.png, 0.65, 0.55, 0.55, left, 1, 4, 2, 4.png, 2.png, 0.45, 0.55, 0.35, 0.65,0,
1, test, 1, 1 second, 1, 4, 3, 4.png, 3.png, 0.45, 0.35, 0.35, left, 1, 3, 4, 3.png, 4.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 2, 4, 1, 4.png, 1.png, 0.45, 0.55, 0.45, right, 2, 4, 1, 4.png, 1.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 3, 2, 3, 2.png, 3.png, 0.35, 0.65, 0.65, left, 1, 3, 2, 3.png, 2.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 4, 1, 3, 1.png, 3.png, 0.35, 0.55, 0.55, left, 1, 3, 1, 3.png, 1.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 5, 2, 3, 2.png, 3.png, 0.35, 0.65, 0.35, right, 2, 2, 3, 2.png, 3.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 6, 4, 3, 4.png, 3.png, 0.45, 0.35, 0.35, left, 1, 3, 4, 3.png, 4.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 7, 4, 3, 4.png, 3.png, 0.45, 0.35, 0.35, left, 1, 3, 4, 3.png, 4.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 8, 4, 3, 4.png, 3.png, 0.45, 0.35, 0.45, right, 2, 4, 3, 4.png, 3.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 9, 1, 3, 1.png, 3.png, 0.35, 0.55, 0.55, left, 1, 3, 1, 3.png, 1.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 10, 1, 4, 1.png, 4.png, 0.45, 0.55, 0.45, right, 2, 1, 4, 1.png, 4.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 11, 1, 3, 1.png, 3.png, 0.35, 0.55, 0.35, right, 2, 1, 3, 1.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 12, 2, 3, 2.png, 3.png, 0.35, 0.65, 0.65, left, 1, 3, 2, 3.png, 2.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 13, 4, 3, 4.png, 3.png, 0.45, 0.35, 0.45, right, 2, 4, 3, 4.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 14, 1, 2, 1.png, 2.png, 0.65, 0.55, 0.55, left, 1, 2, 1, 2.png, 1.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 15, 3, 4, 3.png, 4.png, 0.45, 0.35, 0.35, left, 1, 4, 3, 4.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 16, 2, 1, 2.png, 1.png, 0.65, 0.55, 0.55, left, 1, 1, 2, 1.png, 2.png, 0.55, 0.65, 0.35, 0.45,0,
