subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, exp_value1, exp_value2, exp_value3, exp_value4, reward
1, test, 1, 1 second, 17, 3, 2, 3.png, 2.png, 0.35, 0.65, 0.65, left, 1, 2, 3, 2.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 18, 3, 1, 3.png, 1.png, 0.35, 0.55, 0.55, left, 1, 1, 3, 1.png, 3.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 19, 1, 3, 1.png, 3.png, 0.35, 0.55, 0.55, left, 1, 3, 1, 3.png, 1.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 20, 1, 2, 1.png, 2.png, 0.65, 0.55, 0.65, right, 2, 1, 2, 1.png, 2.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 21, 3, 4, 3.png, 4.png, 0.45, 0.35, 0.35, left, 1, 4, 3, 4.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 22, 3, 4, 3.png, 4.png, 0.45, 0.35, 0.35, left, 1, 4, 3, 4.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 23, 3, 1, 3.png, 1.png, 0.35, 0.55, 0.35, right, 2, 3, 1, 3.png, 1.png, 0.55, 0.65, 0.35, 0.45,0,
1, test, 1, 1 second, 24, 3, 2, 3.png, 2.png, 0.35, 0.65, 0.65, left, 1, 2, 3, 2.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 1, 1 second, 25, 3, 2, 3.png, 2.png, 0.35, 0.65, 0.65, left, 1, 2, 3, 2.png, 3.png, 0.55, 0.65, 0.35, 0.45,1
1, test, 2, 7 seconds, 1, i, k, i.png, k.png, 0.45, 0.65, 0.65, left, 1, k, i, k.png, i.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 2, k, l, k.png, l.png, 0.55, 0.45, 0.55, right, 2, k, l, k.png, l.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 3, l, j, l.png, j.png, 0.55, 0.35, 0.35, left, 1, j, l, j.png, l.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 4, l, i, l.png, i.png, 0.55, 0.65, 0.65, left, 1, i, l, i.png, l.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 5, j, k, j.png, k.png, 0.45, 0.35, 0.35, left, 1, k, j, k.png, j.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 6, i, k, i.png, k.png, 0.45, 0.65, 0.65, left, 1, k, i, k.png, i.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 7, k, i, k.png, i.png, 0.45, 0.65, 0.65, left, 1, i, k, i.png, k.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 8, i, k, i.png, k.png, 0.45, 0.65, 0.45, right, 2, i, k, i.png, k.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 9, i, k, i.png, k.png, 0.45, 0.65, 0.45, right, 2, i, k, i.png, k.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 10, i, l, i.png, l.png, 0.55, 0.65, 0.65, left, 1, l, i, l.png, i.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 11, j, k, j.png, k.png, 0.45, 0.35, 0.45, right, 2, j, k, j.png, k.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 12, l, i, l.png, i.png, 0.55, 0.65, 0.65, left, 1, i, l, i.png, l.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 13, l, j, l.png, j.png, 0.55, 0.35, 0.55, right, 2, l, j, l.png, j.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 14, j, k, j.png, k.png, 0.45, 0.35, 0.35, left, 1, k, j, k.png, j.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 15, l, k, l.png, k.png, 0.55, 0.45, 0.45, left, 1, k, l, k.png, l.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 16, j, k, j.png, k.png, 0.45, 0.35, 0.35, left, 1, k, j, k.png, j.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 17, k, j, k.png, j.png, 0.45, 0.35, 0.35, left, 1, j, k, j.png, k.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 18, i, j, i.png, j.png, 0.35, 0.65, 0.35, right, 2, i, j, i.png, j.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 19, l, k, l.png, k.png, 0.55, 0.45, 0.45, left, 1, k, l, k.png, l.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 20, i, j, i.png, j.png, 0.35, 0.65, 0.65, left, 1, j, i, j.png, i.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 21, i, k, i.png, k.png, 0.45, 0.65, 0.65, left, 1, k, i, k.png, i.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 22, k, i, k.png, i.png, 0.45, 0.65, 0.45, right, 2, k, i, k.png, i.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 23, j, l, j.png, l.png, 0.55, 0.35, 0.35, left, 1, l, j, l.png, j.png, 0.65, 0.35, 0.45, 0.55,1
1, test, 2, 7 seconds, 24, l, j, l.png, j.png, 0.55, 0.35, 0.35, left, 1, j, l, j.png, l.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 2, 7 seconds, 25, k, j, k.png, j.png, 0.45, 0.35, 0.45, right, 2, k, j, k.png, j.png, 0.65, 0.35, 0.45, 0.55,0,
1, test, 3, 1 second, 1, h, e, h.png, e.png, 0.45, 0.55, 0.45, right, 2, h, e, h.png, e.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 2, g, f, g.png, f.png, 0.65, 0.35, 0.35, left, 1, f, g, f.png, g.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 3, h, f, h.png, f.png, 0.45, 0.35, 0.45, right, 2, h, f, h.png, f.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 4, f, e, f.png, e.png, 0.35, 0.55, 0.35, right, 2, f, e, f.png, e.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 5, e, g, e.png, g.png, 0.65, 0.55, 0.65, right, 2, e, g, e.png, g.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 6, h, e, h.png, e.png, 0.45, 0.55, 0.45, right, 2, h, e, h.png, e.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 7, f, e, f.png, e.png, 0.35, 0.55, 0.55, left, 1, e, f, e.png, f.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 8, h, f, h.png, f.png, 0.45, 0.35, 0.35, left, 1, f, h, f.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 9, g, f, g.png, f.png, 0.65, 0.35, 0.35, left, 1, f, g, f.png, g.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 10, g, f, g.png, f.png, 0.65, 0.35, 0.65, right, 2, g, f, g.png, f.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 11, h, e, h.png, e.png, 0.45, 0.55, 0.55, left, 1, e, h, e.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 12, h, e, h.png, e.png, 0.45, 0.55, 0.55, left, 1, e, h, e.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 13, g, e, g.png, e.png, 0.65, 0.55, 0.55, left, 1, e, g, e.png, g.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 14, f, g, f.png, g.png, 0.65, 0.35, 0.65, right, 2, f, g, f.png, g.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 15, f, h, f.png, h.png, 0.45, 0.35, 0.35, left, 1, h, f, h.png, f.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 16, g, f, g.png, f.png, 0.65, 0.35, 0.35, left, 1, f, g, f.png, g.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 17, h, f, h.png, f.png, 0.45, 0.35, 0.35, left, 1, f, h, f.png, h.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 18, g, e, g.png, e.png, 0.65, 0.55, 0.55, left, 1, e, g, e.png, g.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 19, f, g, f.png, g.png, 0.65, 0.35, 0.35, left, 1, g, f, g.png, f.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 20, g, h, g.png, h.png, 0.45, 0.65, 0.45, right, 2, g, h, g.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 21, f, h, f.png, h.png, 0.45, 0.35, 0.45, right, 2, f, h, f.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 3, 1 second, 22, g, e, g.png, e.png, 0.65, 0.55, 0.55, left, 1, e, g, e.png, g.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 23, f, e, f.png, e.png, 0.35, 0.55, 0.55, left, 1, e, f, e.png, f.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 24, g, e, g.png, e.png, 0.65, 0.55, 0.55, left, 1, e, g, e.png, g.png, 0.55, 0.35, 0.65, 0.45,0,
1, test, 3, 1 second, 25, h, f, h.png, f.png, 0.45, 0.35, 0.35, left, 1, f, h, f.png, h.png, 0.55, 0.35, 0.65, 0.45,1
1, test, 4, 7 seconds, 1, w, u, w.png, u.png, 0.45, 0.35, 0.35, left, 1, u, w, u.png, w.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 2, u, v, u.png, v.png, 0.55, 0.35, 0.55, right, 2, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 3, w, u, w.png, u.png, 0.45, 0.35, 0.35, left, 1, u, w, u.png, w.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 4, x, v, x.png, v.png, 0.65, 0.55, 0.65, right, 2, x, v, x.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 5, x, v, x.png, v.png, 0.65, 0.55, 0.55, left, 1, v, x, v.png, x.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 6, u, v, u.png, v.png, 0.55, 0.35, 0.35, left, 1, v, u, v.png, u.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 7, v, x, v.png, x.png, 0.65, 0.55, 0.55, left, 1, x, v, x.png, v.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 8, u, v, u.png, v.png, 0.55, 0.35, 0.55, right, 2, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 9, u, v, u.png, v.png, 0.55, 0.35, 0.55, right, 2, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 10, u, x, u.png, x.png, 0.65, 0.35, 0.65, right, 2, u, x, u.png, x.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 11, w, u, w.png, u.png, 0.45, 0.35, 0.35, left, 1, u, w, u.png, w.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 12, v, w, v.png, w.png, 0.45, 0.55, 0.55, left, 1, w, v, w.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 13, w, x, w.png, x.png, 0.65, 0.45, 0.65, right, 2, w, x, w.png, x.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 14, v, u, v.png, u.png, 0.55, 0.35, 0.35, left, 1, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 15, v, u, v.png, u.png, 0.55, 0.35, 0.55, right, 2, v, u, v.png, u.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 16, w, x, w.png, x.png, 0.65, 0.45, 0.65, right, 2, w, x, w.png, x.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 17, u, x, u.png, x.png, 0.65, 0.35, 0.65, right, 2, u, x, u.png, x.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 18, u, v, u.png, v.png, 0.55, 0.35, 0.55, right, 2, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 19, w, u, w.png, u.png, 0.45, 0.35, 0.35, left, 1, u, w, u.png, w.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 20, v, u, v.png, u.png, 0.55, 0.35, 0.35, left, 1, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 21, x, u, x.png, u.png, 0.65, 0.35, 0.65, right, 2, x, u, x.png, u.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 22, u, v, u.png, v.png, 0.55, 0.35, 0.55, right, 2, u, v, u.png, v.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 23, u, w, u.png, w.png, 0.45, 0.35, 0.35, left, 1, w, u, w.png, u.png, 0.35, 0.55, 0.45, 0.65,0,
1, test, 4, 7 seconds, 24, w, x, w.png, x.png, 0.65, 0.45, 0.45, left, 1, x, w, x.png, w.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 4, 7 seconds, 25, w, x, w.png, x.png, 0.65, 0.45, 0.45, left, 1, x, w, x.png, w.png, 0.35, 0.55, 0.45, 0.65,1
1, test, 5, 1 second, 1, n, p, n.png, p.png, 0.35, 0.55, 0.55, left, 1, p, n, p.png, n.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 2, p, o, p.png, o.png, 0.35, 0.65, 0.35, right, 2, p, o, p.png, o.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 3, o, m, o.png, m.png, 0.65, 0.45, 0.45, left, 1, m, o, m.png, o.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 4, m, p, m.png, p.png, 0.35, 0.45, 0.35, right, 2, m, p, m.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 5, m, o, m.png, o.png, 0.65, 0.45, 0.65, right, 2, m, o, m.png, o.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 6, m, o, m.png, o.png, 0.65, 0.45, 0.65, right, 2, m, o, m.png, o.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 7, p, o, p.png, o.png, 0.35, 0.65, 0.65, left, 1, o, p, o.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 8, n, o, n.png, o.png, 0.65, 0.55, 0.55, left, 1, o, n, o.png, n.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 9, n, p, n.png, p.png, 0.35, 0.55, 0.35, right, 2, n, p, n.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 10, p, m, p.png, m.png, 0.35, 0.45, 0.45, left, 1, m, p, m.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 11, p, o, p.png, o.png, 0.35, 0.65, 0.35, right, 2, p, o, p.png, o.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 12, m, o, m.png, o.png, 0.65, 0.45, 0.65, right, 2, m, o, m.png, o.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 13, n, m, n.png, m.png, 0.55, 0.45, 0.45, left, 1, m, n, m.png, n.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 14, n, o, n.png, o.png, 0.65, 0.55, 0.65, right, 2, n, o, n.png, o.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 15, m, p, m.png, p.png, 0.35, 0.45, 0.45, left, 1, p, m, p.png, m.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 16, m, n, m.png, n.png, 0.55, 0.45, 0.45, left, 1, n, m, n.png, m.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 17, o, p, o.png, p.png, 0.35, 0.65, 0.35, right, 2, o, p, o.png, p.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 18, p, o, p.png, o.png, 0.35, 0.65, 0.65, left, 1, o, p, o.png, p.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 19, n, m, n.png, m.png, 0.55, 0.45, 0.45, left, 1, m, n, m.png, n.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 20, p, m, p.png, m.png, 0.35, 0.45, 0.45, left, 1, m, p, m.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 5, 1 second, 21, n, p, n.png, p.png, 0.35, 0.55, 0.35, right, 2, n, p, n.png, p.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 22, n, p, n.png, p.png, 0.35, 0.55, 0.35, right, 2, n, p, n.png, p.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 23, n, m, n.png, m.png, 0.55, 0.45, 0.45, left, 1, m, n, m.png, n.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 24, p, o, p.png, o.png, 0.35, 0.65, 0.35, right, 2, p, o, p.png, o.png, 0.45, 0.55, 0.65, 0.35,0,
1, test, 5, 1 second, 25, p, o, p.png, o.png, 0.35, 0.65, 0.65, left, 1, o, p, o.png, p.png, 0.45, 0.55, 0.65, 0.35,1
1, test, 6, 7 seconds, 1, s, q, s.png, q.png, 0.55, 0.45, 0.45, left, 1, q, s, q.png, s.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 2, s, q, s.png, q.png, 0.55, 0.45, 0.55, right, 2, s, q, s.png, q.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 3, s, t, s.png, t.png, 0.35, 0.55, 0.55, left, 1, t, s, t.png, s.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 4, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 5, t, r, t.png, r.png, 0.35, 0.65, 0.65, left, 1, r, t, r.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 6, q, r, q.png, r.png, 0.65, 0.45, 0.45, left, 1, r, q, r.png, q.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 7, q, t, q.png, t.png, 0.35, 0.45, 0.35, right, 2, q, t, q.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 8, r, q, r.png, q.png, 0.65, 0.45, 0.45, left, 1, q, r, q.png, r.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 9, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 10, q, s, q.png, s.png, 0.55, 0.45, 0.45, left, 1, s, q, s.png, q.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 11, t, q, t.png, q.png, 0.35, 0.45, 0.35, right, 2, t, q, t.png, q.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 12, q, s, q.png, s.png, 0.55, 0.45, 0.45, left, 1, s, q, s.png, q.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 13, q, t, q.png, t.png, 0.35, 0.45, 0.35, right, 2, q, t, q.png, t.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 14, t, r, t.png, r.png, 0.35, 0.65, 0.35, right, 2, t, r, t.png, r.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 15, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 16, t, s, t.png, s.png, 0.35, 0.55, 0.35, right, 2, t, s, t.png, s.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 17, r, q, r.png, q.png, 0.65, 0.45, 0.45, left, 1, q, r, q.png, r.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 18, q, t, q.png, t.png, 0.35, 0.45, 0.35, right, 2, q, t, q.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 19, s, t, s.png, t.png, 0.35, 0.55, 0.55, left, 1, t, s, t.png, s.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 20, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 21, r, q, r.png, q.png, 0.65, 0.45, 0.45, left, 1, q, r, q.png, r.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 22, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 23, t, s, t.png, s.png, 0.35, 0.55, 0.55, left, 1, s, t, s.png, t.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 6, 7 seconds, 24, t, r, t.png, r.png, 0.35, 0.65, 0.35, right, 2, t, r, t.png, r.png, 0.45, 0.65, 0.55, 0.35,1
1, test, 6, 7 seconds, 25, r, q, r.png, q.png, 0.65, 0.45, 0.45, left, 1, q, r, q.png, r.png, 0.45, 0.65, 0.55, 0.35,0,
1, test, 7, 1 second, 1, b, c, b.png, c.png, 0.55, 0.45, 0.45, left, 1, c, b, c.png, b.png, 0.35, 0.45, 0.55, 0.65,0,
1, test, 7, 1 second, 2, d, a, d.png, a.png, 0.65, 0.35, 0.65, right, 2, d, a, d.png, a.png, 0.35, 0.45, 0.55, 0.65,1
1, test, 7, 1 second, 3, a, d, a.png, d.png, 0.65, 0.35, 0.65, right, 2, a, d, a.png, d.png, 0.35, 0.45, 0.55, 0.65,1
1, test, 7, 1 second, 4, c, b, c.png, b.png, 0.55, 0.45, 0.45, left, 1, b, c, b.png, c.png, 0.35, 0.45, 0.55, 0.65,1
1, test, 7, 1 second, 5, c, b, c.png, b.png, 0.55, 0.45, 0.45, left, 1, b, c, b.png, c.png, 0.35, 0.45, 0.55, 0.65,0,
1, test, 7, 1 second, 6, a, b, a.png, b.png, 0.45, 0.35, 0.35, left, 1, b, a, b.png, a.png, 0.35, 0.45, 0.55, 0.65,0,
1, test, 7, 1 second, 7, b, c, b.png, c.png, 0.55, 0.45, 0.55, right, 2, b, c, b.png, c.png, 0.35, 0.45, 0.55, 0.65,1
1, test, 7, 1 second, 8, a, d, a.png, d.png, 0.65, 0.35, 0.35, left, 1, d, a, d.png, a.png, 0.35, 0.45, 0.55, 0.65,1
