subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
0, practice, 0, 1 second, 1, 3, 4, 3.png, 4.png, 0.35, 0.45, 0.35, right, 2, 3, 4, 3.png, 4.png, 0.19512009993195534, 0.55, 0.65, 0.45, 0.35,1
0, practice, 0, 1 second, 2, 4, 1, 4.png, 1.png, 0.35, 0.55, 0.55, left, 1, 1, 4, 1.png, 4.png, 0.5474033998325467, 0.55, 0.65, 0.45, 0.35,0,
0, practice, 0, 1 second, 3, 2, 1, 2.png, 1.png, 0.65, 0.55, 0.65, right, 2, 2, 1, 2.png, 1.png, 0.5409185001626611, 0.55, 0.65, 0.45, 0.35,1
0, practice, 0, 1 second, 4, 3, 1, 3.png, 1.png, 0.45, 0.55, 0.55, left, 1, 1, 3, 1.png, 3.png, 1.4884407999925315, 0.55, 0.65, 0.45, 0.35,1
0, practice, 0, 1 second, 5, 1, 2, 1.png, 2.png, 0.65, 0.55, 0.65, right, 2, 1, 2, 1.png, 2.png, 0.8865494001656771, 0.55, 0.65, 0.45, 0.35,1
0, test, 1, 7 seconds, 1, s, t, s.png, t.png, 0.55, 0.45, 0.45, left, 1, t, s, t.png, s.png, 1.0934740998782218, 0.65, 0.35, 0.45, 0.55,1
0, test, 1, 7 seconds, 2, r, q, r.png, q.png, 0.35, 0.65, 0.35, right, 2, r, q, r.png, q.png, 0.5320942997932434, 0.65, 0.35, 0.45, 0.55,1
0, test, 2, 1 second, 1, q, s, q.png, s.png, 0.55, 0.45, 0.55, right, 2, q, s, q.png, s.png, 0.7302878997288644, 0.45, 0.65, 0.55, 0.35,1
0, test, 2, 1 second, 2, q, s, q.png, s.png, 0.55, 0.45, 0.45, left, 1, s, q, s.png, q.png, 0.8905945997685194, 0.45, 0.65, 0.55, 0.35,1
0, test, 3, 7 seconds, 1, q, r, q.png, r.png, 0.65, 0.45, 0.45, left, 1, r, q, r.png, q.png, 0.33427409967407584, 0.45, 0.65, 0.35, 0.55,0,
0, test, 3, 7 seconds, 2, r, s, r.png, s.png, 0.35, 0.65, 0.65, left, 1, s, r, s.png, r.png, 1.3931466001085937, 0.45, 0.65, 0.35, 0.55,1
0, test, 4, 1 second, 1, s, t, s.png, t.png, 0.35, 0.45, 0.35, right, 2, s, t, s.png, t.png, 1.0253824000246823, 0.55, 0.65, 0.45, 0.35,1
0, test, 4, 1 second, 2, t, s, t.png, s.png, 0.35, 0.45, 0.35, right, 2, t, s, t.png, s.png, 13.444649000186473, 0.55, 0.65, 0.45, 0.35,0,
0, test, 5, 7 seconds, 1, q, t, q.png, t.png, 0.55, 0.65, 0.55, right, 2, q, t, q.png, t.png, 1.2278690999373794, 0.65, 0.45, 0.35, 0.55,1
0, test, 5, 7 seconds, 2, r, s, r.png, s.png, 0.35, 0.45, 0.35, right, 2, r, s, r.png, s.png, 0.41492860019207, 0.65, 0.45, 0.35, 0.55,0,
